"logFC" "logCPM" "PValue" "FDR"
"AT2G01021" 4.56061046230197 7.96874435590306 2.15470801418998e-09 7.00174429452636e-05
"AT3G22142" -4.99394143603288 3.75898286420231 4.16683684620844e-09 7.00174429452636e-05
"AT4G19510" -4.42151203987813 4.12875241829134 3.34066033547522e-08 0.000374231906314386
"AT3G42658" -5.6255526027135 2.11508568805042 7.85680207005344e-08 0.000660108867920715
"AT4G19500" -4.03058811868889 5.0962165381914 1.18286315730874e-07 0.000795049642553499
"AT4G24420" 8.82977459769016 1.7455817892427 2.22884626458782e-07 0.00124841394023338
"AT4G20480" -3.98970646164957 4.22473311339541 3.38466190447617e-07 0.00144744421899484
"AT3G05170" 8.74507784757099 1.66962403761554 3.44557793077595e-07 0.00144744421899484
"AT4G20420" -5.69252108348208 1.28411109845308 1.03207686051889e-06 0.00385388967238425
"AT4G16870" -3.78727992111011 3.73743894162468 1.50751089310238e-06 0.00506629185844916
"AT3G28550" -3.51578792204194 4.55296841943264 2.9339602736099e-06 0.00896378208320071
"AT1G20390" -4.97467055767527 1.48449957090725 3.28997118551508e-06 0.00921383846930044
"AT3G22231" 3.4456678090401 4.65018002583821 4.6425143236393e-06 0.0120016137595805
"AT4G21370" 7.951086642809 0.972129099760619 1.79858836513575e-05 0.0431751137050838
"AT1G29720" -4.18916749304546 1.68264159063028 1.93925318231872e-05 0.0434483211321234
"AT4G31940" 3.15835602507271 4.03618632432928 2.88896924710249e-05 0.0606809934296083
"AT1G23720" -2.99805989373728 4.14478152391083 4.53555624479879e-05 0.0896626110111488
"AT4G22485" -2.91965870957229 4.53635991274467 5.55036439100706e-05 0.1024373927619
"AT3G05660" -4.87822163432079 0.535490880106993 5.79138412377211e-05 0.1024373927619
"AT3G54580" -2.91117048774588 3.97429896824351 7.9672252256982e-05 0.13387726908002
"AT3G22235" 2.7953127491421 5.47024563331781 9.09947521199473e-05 0.145621934975956
"AT4G08400" -7.71234493467873 0.421722545301904 9.63608450846118e-05 0.14719995094357
"AT4G23680" 2.69428305982204 7.6993315375949 0.000115034663151866 0.16808564889325
"AT5G42800" 2.72098063437474 5.76815332593482 0.000127491294339254 0.178524997035804
"AT3G22120" -2.66634730845226 6.51392835766607 0.000138784429127481 0.186565132387491
"AT2G41260" 4.03167921918175 1.49560772792302 0.000154728128927488 0.199998008802542
"AT4G22880" 2.64441496970487 5.85416286138677 0.000181522474958323 0.225941696886088
"AT4G13340" -2.69534829939434 4.15300609942578 0.000197432456689615 0.23696830614171
"AT3G59480" -3.41198413431114 1.28768817444876 0.000211308443188638 0.243917237249265
"AT4G25260" -2.74461090913809 3.37972531801315 0.000217737885484511 0.243917237249265
"AT1G21310" -2.5472931099296 7.76683459921252 0.000240388163224127 0.260604032305589
"AT2G14247" -2.64895733209439 4.00953398068258 0.000265160349766767 0.278476371081617
"AT4G22390" -7.39213557377628 0.138965940357692 0.000290613193839001 0.28537484579321
"AT1G33960" -4.48795055570915 0.203017143458931 0.000290613193839001 0.28537484579321
"AT2G30770" -2.87288912940987 2.53530659495275 0.00030377219589277 0.28537484579321
"AT3G62455" -4.04476706155434 0.640805614715664 0.000305695076875518 0.28537484579321
"AT5G17220" 2.49963972905173 5.77829068203834 0.000371649912299719 0.337568610882612
"AT1G32560" 3.10093868247411 2.10563105546012 0.000381712971088626 0.337584942615144
"AT4G14090" 2.57337886309034 4.31634672139535 0.000392378857905301 0.338119904554447
"AT5G56080" 2.86263668048677 2.58302004878915 0.00040520687155803 0.338608288541499
"AT5G46330" -2.67840474861944 2.86315566180903 0.000413096671235202 0.338608288541499
"AT4G17030" 2.49641633106384 5.14479245807305 0.000424609992330207 0.339758762196221
"AT1G02930" 2.47013625353794 5.65742051285155 0.000439915108814607 0.34381923399843
"AT5G59220" 2.91197272816909 2.48336063987004 0.000455672183026908 0.348040342158757
"AT4G26830" -4.39541360792716 0.12724989470643 0.000530404868558373 0.39611814261425
"AT4G19520" -2.51441573349282 3.7832374933987 0.000555492176166374 0.397745098907553
"AT5G54060" 2.45317543811276 4.76493455282159 0.000556253746203321 0.397745098907553
"AT5G35935" -2.52119153784228 3.63662116927708 0.000579874827834204 0.405996944563002
"AT4G25225" -3.11321452573056 1.27939224121778 0.000622182326904088 0.418163796315996
"AT1G21540" -3.01833737471726 1.75846053140543 0.000622782171539671 0.418163796315996
"AT1G13609" -2.39016826949979 5.43978082137987 0.000634895955656888 0.418163796315996
"AT3G61920" 2.61438261112459 3.24736619151181 0.000647023459649233 0.418163796315996
"AT3G54590" -2.53613458005313 3.01485199609656 0.000706840124104074 0.448203321712559
"AT2G41850" 2.63759588151507 2.94339378323778 0.000787285344602652 0.489379057303782
"AT3G22840" 2.35493837952836 5.1800137198577 0.000800900055098878 0.489379057303782
"AT4G18670" -2.35632068527611 4.68143057292532 0.000854140951494742 0.512591338515782
"AT3G24480" -2.33719650023694 4.69356288087769 0.000880928699052436 0.519392469983425
"AT1G62440" -3.3916387943141 0.971734330468823 0.000977184386010254 0.566210959666321
"AT5G16410" -4.19037088744412 -0.0360779469945345 0.00100640923777743 0.56894538018982
"AT4G12480" -2.32111364634543 4.48708873089254 0.00101576227605526 0.56894538018982
"AT5G04290" -2.39932449113692 3.28997734922602 0.00103452101552279 0.569953242109417
"AT5G53450" -2.23687535600467 7.45089954502021 0.00110729173931664 0.600205701342166
"AT4G21380" -2.47916028208271 2.86410842677577 0.00115282340380147 0.614967240183427
"AT1G26150" -2.23869211083593 5.66168436573965 0.00123149755124154 0.646670909446473
"AT4G20430" -2.26416886845854 4.48684427872717 0.00137225803056903 0.699283792160111
"AT4G06477" -6.97995808875637 -0.205612286337955 0.00140897293288839 0.699283792160111
"AT1G09950" 6.95690476652987 0.147512949043667 0.00140897293288839 0.699283792160111
"AT2G16367" 2.61207520078099 2.50328255351024 0.0014149224229145 0.699283792160111
"AT2G15880" -2.64035044260358 1.84281057241255 0.00147797586091763 0.719859924026941
"AT1G55860" -2.17970276136362 6.01532082439562 0.00154820372519024 0.743292608463834
